Код;Описание;Уровень
D2090400;Трубопроводы и оборудование для бассейнов;4
D2090500;Декоративные фонтанные трубопроводы и устройства;4
D2090600;Специальные системы водоснабжения;4
D2090800;Трубы и фиттинги других трубопроводных систем;4
D2090900;Другие детали трубопроводных систем;4
D30;Отопление, вентиляция и кондеционирование;2
D3010;Энергоснабжение;3
D3010100;Система подачи масла;4
D3010200;Система подачи газа;4
D3010300;Система подачи угля;4
D3010400;Система подачи пара;4
D3010500;Система подачи горячей воды;4
D3010600;Система подачи холодной воды;4
D3010700;Солнечные энергетические системы;4
D3010800;Ветряные энергетические системы;4
D3010900;Системы на топливных элементах;4
D3020;Теплогенерирующие системы;3
D3020100;Бойлеры;4
D3020200;Бойлерная комната и трубная обвязка;4
D3020300;Вспомогательное оборудование;4
D3020400;Изоляция;4
D3030;Системы охлаждения;3
D3030100;Водяные системы охлаждения;4
D3030200;Обноступенчатые системы прямого расширения;4
D3030300;Компоненты других систем охлаждения;4
D3040;Системы распределения;3
D3040100;Системы распределения воздуха;4
D3040200;Системы вытяжной вентиляции;4
D3040300;Системы распределения пара;4
D3040400;Распределение горячей воды;4
D3040500;Распределение холодной воды;4
D3040600;Системы распределения с переключением режимов работы;4
D3040700;Системы распределения гликоля;4
D3050;Автономные и неавтономные местные кондиционеры;3
D3050100;Неавтономные местные кондиционеры;4
D3050200;Автономные местные кондиционеры;4
D3060;Контрольно-измерительные приборы и автоматика;3
D3060100;КИПиА отопительных систем;4
D3060200;КИПиА охладительных систем;4
D3060300;КИПиА воздушных систем отопления/охлаждения;4
D3060400;КИПиА систем вентиляции и дымоудаления;4
D3060500;КИПиА вытяжки и вытяжных систем;4
D3060600;КИПиА воздухораспределителей;4
D3060700;Приборы учета потребления энергии и мониторинга;4
D3060800;Автоматизированная система управления инженерным оборудованием здания;4
D3070;Системы тестирования и балансировки;3
D3070100;Системы тестирования и балансировки трубопроводов;4
D3070200;Системы тестирования и балансировки воздуховодов;4
D3070300;Приемка и ввод в эксплуатацию систем ОВиК;4
D3070900;Тестирование и балансировка других систем;4
D3090;Другие системы и оборудование ОВиК;3
